id,year,name,agency,cfr,total_cost,total_cost_link,annual_cost,annual_cost_link,burden_hours,burden_hours_link,notes,final,tag_1,tag_2,tag_3,updated,Agency,Cost
240640,2012,Certification of Compliance With Meal Requirements,Agriculture,Agriculture,11000000.0,,2200000.0,http://www.federalregister.gov/a/2012-10229/p-83,156608.0,http://www.federalregister.gov/a/2012-10229/p-104,,1,0,0,1,2012-04-27 20:23:52,Agriculture,11.0m
247297,2013,Prior Label Approval System: Generic Label Approval,Agriculture,Energy & Environment,-12400000.0,http://www.federalregister.gov/a/2013-26639/p-114,-1900000.0,http://www.federalregister.gov/a/2013-26639/p-114,-34971.0,http://www.federalregister.gov/a/2013-26639/p-134,,1,0,0,0,2013-11-07 21:25:30,Agriculture,-12.4m
247299,2013,ENERGY EFFICIENCY AND CONSERVATION LOAN PROGRAM ,Agriculture,Energy & Environment,0.0,http://www.gao.gov/fedrules/176054,0.0,http://www.gao.gov/fedrules/176054,0.0,http://www.gao.gov/fedrules/176054,,1,0,0,1,2013-12-05 21:25:30,Agriculture,0.0
318982,2024,Child Nutrition Programs: Meal Patterns Consistent With the 2020-2025 Dietary Guidelines for Americans,Agriculture,Agriculture,761000000.0,https://www.federalregister.gov/documents/2024/04/25/2024-08098/child-nutrition-programs-meal-patterns-consistent-with-the-2020-2025-dietary-guidelines-for#p-1916,140000000.0,https://www.federalregister.gov/documents/2024/04/25/2024-08098/child-nutrition-programs-meal-patterns-consistent-with-the-2020-2025-dietary-guidelines-for#p-1916,635197.0,https://www.federalregister.gov/documents/2024/04/25/2024-08098/child-nutrition-programs-meal-patterns-consistent-with-the-2020-2025-dietary-guidelines-for#p-1190,,1,0,0,0,2024-04-25 17:33:09,Agriculture,761.0m
276231,2022,National Organic Program; Origin of Livestock,Agriculture,Agriculture,1230000.0,https://www.federalregister.gov/documents/2022/04/05/2022-06957/national-organic-program-origin-of-livestock#p-252,1230000.0,https://www.federalregister.gov/documents/2022/04/05/2022-06957/national-organic-program-origin-of-livestock#p-252,,,,1,0,0,0,2022-04-05 15:12:43,Agriculture,1.2m
239117,2008,National Forest System Land Management Planning,Agriculture,Agriculture,-384000000.0,https://www.federalregister.gov/articles/2008/04/21/E8-8085/national-forest-system-land-management-planning,-22700000.0,https://www.federalregister.gov/articles/2008/04/21/E8-8085/national-forest-system-land-management-planning,,,,1,0,0,0,2008-04-21 20:13:29,Agriculture,-384.0m
245521,2019,Eliminating Unnecessary Requirements for Hog Carcass Cleaning,Agriculture,Agriculture,-82948497.99841404,https://www.federalregister.gov/documents/2019/02/07/2019-01345/eliminating-unnecessary-requirements-for-hog-carcass-cleaning#p-32,-11810000.0,https://www.federalregister.gov/documents/2019/02/07/2019-01345/eliminating-unnecessary-requirements-for-hog-carcass-cleaning#p-32,,,,1,0,0,0,2019-02-07 20:50:53,Agriculture,-82.9m
245522,2019,"Supplemental Nutrition Assistance Program (SNAP): Eligibility, Certification, and Employment and Training Provisions of the Food, Conservation and Energy Act of 2008",Agriculture,Agriculture,-13000000.0,https://www.federalregister.gov/documents/2019/02/19/2019-02551/supplemental-nutrition-assistance-program-snap-eligibility-certification-and-employment-and-training#p-18,-2600000.0,https://www.federalregister.gov/documents/2019/02/19/2019-02551/supplemental-nutrition-assistance-program-snap-eligibility-certification-and-employment-and-training#p-18,,,,1,0,0,0,2019-02-19 20:50:53,Agriculture,-13.0m
245523,2019,"Mango Promotion, Research and Information Order; Amendment To Include Frozen Mangos",Agriculture,Agriculture,3000.0,https://www.federalregister.gov/documents/2019/02/21/2019-02859/mango-promotion-research-and-information-order-amendment-to-include-frozen-mangos#p-82,3000.0,https://www.federalregister.gov/documents/2019/02/21/2019-02859/mango-promotion-research-and-information-order-amendment-to-include-frozen-mangos#p-82,167.37,https://www.federalregister.gov/documents/2019/02/21/2019-02859/mango-promotion-research-and-information-order-amendment-to-include-frozen-mangos#p-82,,1,0,0,0,2019-02-21 20:50:53,Agriculture,3.0k
245524,2019,Elimination of the Requirement That Livestock Carcasses Be Marked “U.S. Inspected and Passed” at the Time of Inspection Within a Slaughter Establishment for Carcasses To Be Further Processed Within the Same Establishment,Agriculture,Agriculture,-107700.0,https://www.federalregister.gov/documents/2019/03/18/2019-04993/elimination-of-the-requirement-that-livestock-carcasses-be-marked-us-inspected-and-passed-at-the#p-23,-107700.0,https://www.federalregister.gov/documents/2019/03/18/2019-04993/elimination-of-the-requirement-that-livestock-carcasses-be-marked-us-inspected-and-passed-at-the#p-23,,,,1,0,0,0,2019-03-18 20:50:53,Agriculture,-107.7k
245525,2019,Scrapie in Sheep and Goats,Agriculture,Agriculture,-1642857.142857143,https://www.federalregister.gov/documents/2019/03/25/2019-05430/scrapie-in-sheep-and-goats#p-185,-115000.0,https://www.federalregister.gov/documents/2019/03/25/2019-05430/scrapie-in-sheep-and-goats#p-185,,,,1,0,0,0,2019-03-25 20:50:53,Agriculture,-1.6m
