Regulation,Year,Agency,Cost
"Certification of Compliance With Meal Requirements","2012","Agriculture","11.0m"
"Prior Label Approval System: Generic Label Approval","2013","Agriculture","-12.4m"
"ENERGY EFFICIENCY AND CONSERVATION LOAN PROGRAM ","2013","Agriculture","0.0"
"Child Nutrition Programs: Meal Patterns Consistent With the 2020-2025 Dietary Guidelines for Americans","2024","Agriculture","761.0m"
"National Organic Program; Origin of Livestock","2022","Agriculture","1.2m"
"National Forest System Land Management Planning","2008","Agriculture","-384.0m"
"Eliminating Unnecessary Requirements for Hog Carcass Cleaning","2019","Agriculture","-82.9m"
"Supplemental Nutrition Assistance Program (SNAP): Eligibility, Certification, and Employment and Training Provisions of the Food, Conservation and Energy Act of 2008","2019","Agriculture","-13.0m"
"Mango Promotion, Research and Information Order; Amendment To Include Frozen Mangos","2019","Agriculture","3.0k"
"Elimination of the Requirement That Livestock Carcasses Be Marked “U.S. Inspected and Passed” at the Time of Inspection Within a Slaughter Establishment for Carcasses To Be Further Processed Within the Same Establishment","2019","Agriculture","-107.7k"
"Scrapie in Sheep and Goats","2019","Agriculture","-1.6m"
"Supplemental Nutrition Assistance Program: Student Eligibility, Convicted Felons, Lottery and Gambling, and State Verification Provisions of the Agricultural Act of 2014","2019","Agriculture","31.1m"
"Phytophthora ramorum; Regulated Areas, Regulated Establishments, and Testing Protocols","2019","Agriculture","-321.4m"
"Community Facilities Technical Assistance and Training Grants","2016","Agriculture","188.0k"
"DAIRY MARGIN COVERAGE PROGRAM AND DAIRY INDEMNITY PAYMENT PROGRAM ","2019","Agriculture","0.0"
"SNAP: Review of Major Changes","2016","Agriculture","1.1m"
"Plant Pest Regulations","2019","Agriculture","-785.7k"
"Condemnation of Poultry Carcasses Affected With Any Form of Avian Leukosis Complex; Recission","2023","Agriculture","-407.0k"
"Conditions for Payment of Highly Pathogenic Avian Influenza Indemnity Claims","2016","Agriculture","1.9m"
"TRADE MITIGATION PROGRAM ","2019","Agriculture","0.0"
"Removal of Mandatory Country of Origin Labeling Requirements for Beef and Pork","2016","Agriculture","-1.8b"
"Agricultural Disaster Indemnity Programs","2019","Agriculture","0.0"
"Child Nutrition Program Integrity","2023","Agriculture","6.7m"
"Sorghum Promotion, Research, and Information Order","2008","Agriculture","330.0k"
"CONSERVATION STEWARDSHIP PROGRAM ","2016","Agriculture","0.0"
"Modernization of Swine Slaughter Inspection","2019","Agriculture","-741.6m"
"(SNAP): Employment and Training Program Monitoring","2016","Agriculture","1.2m"
